notes,target
"On January 24, in Mysuru town (Mysuru, Karnataka), meal preparation workers for schoolchildren staged a demonstration demanding higher wages.",Protests
"On January 24, in Navi Mumbai town (Thane, Maha), workers of Shiv Sena staged a protest outside a theatre against the theatre's management for not installing posters of the film inside the theatre.",Protests
"On January 24, in Panaji town (North Goa, Goa), Youth Congress staged a demonstration to demand scrapping of the controversial Coastal Regulatory Zone Notification 2018.",Protests
"On January 24, in Satana town (Nashik, Maha), farmers at the local Agricultural Produce Market Committee (APMC) staged a demonstration and blocked the road to protest the crash in the wholesale prices of onions.",Protests
"On January 24, in Vijayawada town (Krishna, AP), CPI M activists staged a protest at the Excel plant against plans to hand over valuable land for purposes unrelated to housing for the impoverished.",Protests
"On January 24, in Visakhapatnam town (Visakhapatnam, AP), members and activists of the East Coast Railway Shramik Union (ECoRSU) staged a protest demanding the railway authorities address a list of employee demands.",Protests
"On January 24, at least five students were injured and hospitalised when police fired mock bombs in Imphal city (Imphal West, Manipur), during a demonstration against the Citizenship (Amendment) Bill, 2016. The students tried to enter the residence of a parliamentarian. Women vendors also marched in the city.",Protests
"On January 24, Congress members staged a five-hour long sit-in demonstration at Chowkidinghee in Dibrugarh city (Dibrugarh, Assam), in protest against the Citizenship (Amendment) Bill 2016.",Protests
"On January 24, Congress members and Asom Gana Parishad (AGP) members staged a demonstration and hunger strike in different places of North Lakhimpur city (Lakhimpur, Assam), in protest against the Citizenship (Amendment) Bill 2016. AASU, AJYCP, KMSS and MASS members also staged a protest and torchlight rally.",Protests
"On January 24, Congress members staged a demonstration and hunger strike in Dhubri city (Dhubri, Assam), in protest against the Citizenship (Amendment) Bill 2016.",Protests
"On January 24, Asom Gana Parishad (AGP) legislators along with hundreds of activists, students and members of several organizations including AJYCP, KMSS and ULFA staged a 10-hour hunger strike and demonstration on the bank of Dighalipukhuri in Guwahati city (Kamrup Metropolitan, Assam), in protest against the Citizenship (Amendment) Bill, 2016.",Protests
"On January 24, Congress members staged a protest march in Itanagar city (Papum Pare, Arunachal Pradesh), against the Citizenship (Amendment) Bill, 2016.",Protests
"On January 24, Congress members organized a five-hour hunger strike and protest in front of the District Commissioner's office in Tinsukia city (Tinsukia, Assam), against the Citizenship (Amendment) Bill, 2016.",Protests
"On January 24, Tetelia Brihattar Nagarik Mancha, AASU and Asom Gana Parishad members staged a protest near 6 No Tetelia village in Jorabat area (Kamrup Metropolitan, Assam), against the Citizenship (Amendment) Bill, 2016.",Protests
"On January 24, hundreds of passengers staged a protest and blocked railway tracks at Dasnagar railway station in Howrah city (Howrah, West Bengal), after a local train was stopped on the mail line (middle track) and commuters had to jump on the railway tracks to deboard it.",Protests
"On January 24, people burnt tyres and blocked roads in several places of Kendrapara district (Odisha), as part of a 12-hour bandh called by the Rashtriya Suraksha Manch. The bandh was called after a clash occurred between two groups on January 23, over arrangements for the celebration of the birth anniversary of Netaji Subhas Chandra Bose.",Riots
"On January 24, members of Odisha Cable Operators staged a demonstration at Master Canteen Square in Bhubaneswar city (Khordha, Odisha), against the new tariff order of the Telecom Regulatory Authority of India (TRAI).",Protests
"On January 24, locals and members of several organizations staged a sit-in protest in Wangoi city (Imphal West, Manipur), denouncing the transfer of the Wangoi Municipal Council executive officer, without valid reason, and demanding immediate repeal of the order.",Protests
"On January 24, Congress members staged protests and marches in several places of Arunachal Pradesh state, against the Citizenship (Amendment) Bill, 2016.",Protests
"On January 24, members of the Sikkim Progressive Youth Forum continued their an indefinite dharna in Gangtok city (West Sikkim, Sikkim), to protest against the state government's attitude regarding the lack of proper medical facilities at the Gyalshing District Hospital. They changed their protest location after the police intervened, but there was no clash.",Protests
"On 24 January, at least 12 people were injured in a clash between lawyers and police in Barabanki (Barabanki, Uttar Pradesh). The lawyers blocked the Lucknow-Faizabad highway near Civil Lines police station in Barabanki, demanding an FIR against police officers who had apparently mishandled one of their colleagues the night before. Police used a cane charge to disperse them and the lawyers threw bricks & damaged vehicles. Another report indicates that a lawyer and his brother in law were detained by a female officer for getting in an accident while driving drunk on 23rd Jan.",Riots
"On January 24, Congress members staged a dharna in Tezu city (Lohit, Arunachal Pradesh), against the Citizenship (Amendment) Bill, 2016.",Protests
"On January 24, a sit-in protest was staged under the Sadou Dibrugarh Muslim Samaj (SDMS) at Eidgah Maidan, Grahambazar, in Dibrugarh city (Dibrugarh, Assam), to oppose the Citizenship (Amendment) Bill, 2016. A representative of the Krishak Mukti Sangram Samiti was also present.",Protests
"On January 24, in Vansda town (Navsari, Gujarat), tribal villagers staged a protest against land acquisition for a key highway project.",Protests
"On January 24, in Navsari town (Navsari, Gujarat), tribal villagers staged a protest against land acquisition for a key highway project.",Protests
"On January 24, two groups pelted stones at each other in Kendrapara city (Kendrapara, Odisha), during a curfew called by the police after a clash occurred between two groups on January 23, over arrangements for the celebration of the birth anniversary of Netaji Subhas Chandra Bose. There were reports of people hurling petrol bombs. The police controlled the mob with lathi-charge.",Riots
"On January 24, an encounter took place between Maoist cadres and security forces in the Ratanpur Mines Forest area (Nawada, Bihar), in the border of Koderma district of Jharkhand. The body of a Maoist was later retrieved from the forest.",Other
"On January 24, the Confederation of Hynniewtrep Social Organisations (CoHSO) staged a hunger strike at the Additional Secretariat Parking lot in Shillong city (East Khasi Hills, Meghalaya), to oppose the BJP and other MPs who supported the Citizenship Amendment Bill (CAB) 2016.",Protests
"On 24 Jan, near Chitradurga city (Chitradurga, Karnataka), the Grameena Kooli Karmikara Sanghatane rural labourers' organization, including about 3,000 women, staged a padayatra (march) from Karnataka to Bengaluru to demand complete prohibition of alcohol. Day 5",Protests
"On 23 Jan, three LeT militants were killed in a clash with state forces during a joint RR, CRPF and SOG CASO at Binner village (Baramulla, J&K). Rioting youths clashed with state forces at the scene.",Other
"On 23 Jan, no injuries were reported when Indian and Pakistani forces exchanged fire across the LoC in the Mendhar sector area (Poonch, J&K).",Other
"On 23 Jan, the ABVP led state-wide (division-wide) student protests across Jammu division (J&K), demanding open admissions for 6th semester graduation to all students regardless of back logs in their other semesters.",Protests
"On 23 Jan, the ABVP led student protests in Jammu district (J&K), demanding open admissions for 6th semester graduation to all students regardless of back logs in their other semesters.",Protests
"On 23 Jan, the ABVP led student protests in Kathua district (J&K), demanding open admissions for 6th semester graduation to all students regardless of back logs in their other semesters.",Protests
"On 23 Jan, the ABVP led student protests in the Billawar tehsil area (Kathua, J&K), demanding open admissions for 6th semester graduation to all students regardless of back logs in their other semesters.",Protests
"On 23 Jan, the ABVP led student protests in Udhampur district (J&K), demanding open admissions for 6th semester graduation to all students regardless of back logs in their other semesters.",Protests
"On 23 Jan, the ABVP led student protests in Reasi district (J&K), demanding open admissions for 6th semester graduation to all students regardless of back logs in their other semesters.",Protests
"On 23 Jan, the ABVP led student protests in the Sunderbani tehsil area (Rajouri, J&K), demanding open admissions for 6th semester graduation to all students regardless of back logs in their other semesters.",Protests
"On 23 Jan, the ABVP led student protests on several college campuses in Jammu city (J&K), demanding open admissions for 6th semester graduation to all students regardless of back logs in their other semesters. At Jammu University, police lathi charged protesting students as they attempted to enter the university grounds by climbing the gate, resulting in some injuries to students.",Protests
"On 23 Jan, National Health Mission workers staged a protest at the Press Club in Jammu city (J&K) as part of ongoing agitation calling for regularisation of employment and pay increases.",Protests
"On 23 Jan, stranded commuters staged a protest in the Ramban district town area (J&K) as the Jammu-Srinagar National Highway remained closed between Ramban and Banihal for a third consecutive day due to landslides and heavy snowfall. Protesters criticised the local administration for not providing basic facilities and accused shopkeepers and hoteliers of charging extra rates.",Protests
"On 23 Jan, students staged a protest against the Jammu University administration at the Government Degree College Mendhar in Mendhar town (Poonch, J&K), demanding open admissions for 6th semester graduation to all students regardless of back logs in their other semesters.",Protests
"On 23 Jan, students staged a protest against the Jammu University administration at the Government Degree College Surankote in Surankote town (Poonch, J&K), demanding open admissions for 6th semester graduation to all students regardless of back logs in their other semesters.",Protests
"On 23 Jan, residents from Panzan and Raipora villages (Budgam, J&K) staged a protest in the area, blocking the main road to Budgam district HQ, over unscheduled power cuts.",Protests
"On 23 Jan, rioters clashed with army troops at Chidvi Pora village (Shopian, J&K) amid a district-wide shutdown in response to two separate clashes between state forces and militants that left three HM and three Al-Badr militants dead. Rioters had been returning from funerary prayers when they pelted an army camp with stones, prompting soldiers to retaliate with aerial firing.",Riots
"On 23 Jan, mourners raised anti-India and pro-independence slogans in the Dragar (Draggad) village area (Shopian, J&K) during funerary prayers for a slain militant. APHC Chairman Syed Ali Geelani addressed mourners over the telephone.",Protests
"On 23 Jan, mourners raised anti-India and pro-independence slogans in the Shirmal village area (Shopian, J&K) during funerary prayers for a slain militant.",Protests
"On 23 Jan, mourners raised anti-India and pro-independence slogans in the Lassipora village area (Pulwama, J&K) during funerary prayers for a slain militant.",Protests
"On 23 Jan, interstate truck drivers staged a protest against the Forestry Department at Lakhanpur village (Kathua, J&K), accusing the department of failing to provide them with clearance to bring wooden materials into the state.",Protests
"On 23 Jan, newly-elected panches staged a protest at Vijaypur town (Samba, J&K) and boycotted their oath-taking ceremony over the BDO Vjaypur's failure to attend the ceremony.",Protests
"On 23 Jan, mourners raised anti-India and pro-independence slogans in the Nowpora Payeen village area (Pulwama, J&K) during funerary prayers for a slain militant.",Protests
"On 23 Jan, local residents staged a protest, blocking the main road at the New Colony in Palpora village (Kupwara, J&K), against Power Development Department for its failure to install a transformer in the area.",Protests
"On 23 Jan, residents of Lehnu village staged a protest near the BDO office in Tikri village (Udhampur, J&K), against a delay in panchayat elections at their village.",Protests
"On 23 January, farmers associated with the Akhil Bhartiya Kisan Sabha staged a protest at the mini secretariat in Sonipat city (Sonipat, Haryana) against the compulsory order for farmers to get wheat registered online or else it would not be purchased by the government.",Protests
"On 23 January, family of a woman who was forced to give birth on the side of the road after she was turned away from the government hospital in Jalaun district (Uttar Pradesh) staged a protest against the hospital for serious negligence in the matter.",Protests
"On 23 January, farmers staged a protest against Congress President Rahul Gandhi in Gauriganj town of Amethi district (Uttar Pradesh) over the acquisition of land for the Rajiv Gandhi Foundation to build a factory, demanding that the land either be given back or they be compensated with employment. Rahul Gandhi represents Amethi in the Parliament and was scheduled to speak in the town later the same day.",Protests
"On 23 January, workers at ordnance factories began a three day strike & protest against the Centre over defense manufacturing policy, specifically the intention to make 275 items previously manufactured by the state into 'non core' and therefore eligible for purchase from private companies. The protest-strikes affect factories in Kanpur (Kanpur Nagar, Uttar Pradesh), Hazratpur Tundla (near Agra, Uttar Pradesh), Shahjahanpur (Shahjahanpur, Uttar Pradesh) and Chennai (Chennai, Tamil Nadu).",Protests
"On 23 January, workers at ordnance factories began a three day strike & protest against the Centre over defense manufacturing policy, specifically the intention to make 275 items previously manufactured by the state into 'non core' and therefore eligible for purchase from private companies. The protest-strikes affect factories in Kanpur (Kanpur Nagar, Uttar Pradesh), Hazratpur (Tundla, Firozabad, Uttar Pradesh), Shahjahanpur (Shahjahanpur, Uttar Pradesh) and Chennai (Chennai, Tamil Nadu).",Protests
"On 23 January, workers at ordnance factories began a three day strike & protest against the Centre over defense manufacturing policy, specifically the intention to make 275 items previously manufactured by the state into 'non core' and therefore eligible for purchase from private companies. The protest-strikes affect factories in Kanpur (Kanpur Nagar, Uttar Pradesh), Hazratpur Tundla (near Agra, Uttar Pradesh), Shahjahanpur (Shahjahanpur, Uttar Pradesh) and Chennai (Chennai, Tamil Nadu).",Protests
"On 23 January, workers at ordnance factories began a three day strike & protest against the Centre over defense manufacturing policy, specifically the intention to make 275 items previously manufactured by the state into 'non core' and therefore eligible for purchase from private companies. The protest-strikes affect factories in Kanpur (Kanpur Nagar, Uttar Pradesh), Hazratpur Tundla (near Agra, Uttar Pradesh), Shahjahanpur (Shahjahanpur, Uttar Pradesh) and Chennai (Chennai, Tamil Nadu).",Protests
"On January 23, villagers spread across the Advance Landing Ground (ALG) in Vijaynagar village (Changlang, Arunachal Pradesh), to prevent landing of an IAF helicopter. The villagers were protesting against the IAF helicopter for not carrying cardamom produced by them to Miao.",Protests
"On January 23, members of the Krishak Mukti Sangram Samiti staged a protest at the NH 154 in Boalipar area (Hailakandi, Assam), demanding action against the killer(s) of a youth who was abducted and found dead.",Protests
"Land seizure: On January 23, suspected Naga militants threatened villagers and tried to occupy a part of border land in sector D and sector F area of Gelakey village (Sivasagar, Assam)",Other
"On January 23, in Pinarayi village in Thalassery Tehsil (Kannur, Kerala), BJP workers attacked four CPI(M) workers with a bomb for unknown reasons, leaving four CPI(M) with serious injuries.",Violence against civilians
"On January 23, in Pinarayi village in Thalassery Tehsil (Kannur, Kerala), CPI(M) workers attacked BJP workers with a bomb in retaliation for an attack on CPI(M) workers earlier, leaving three BJP workers seriously injured.",Violence against civilians
"On January 23, in Alappuzha town (Alappuzha, TN), United Democratic Front (UDF) members staged a demonstration and laid siege to the Wayanad Collectorate in protest against the apathy of the State and Central governments towards the farming community in the hill district.",Protests
"On January 23, in Hyderabad town (Hyderabad, Telangana), several Hindu organizations, including VHP, attacked a female journalist and her crew while they reported on their demonstration against the Sabarimala Ayyappa Seva Samajam issue.",Riots
"Assumed on January 23, in Kalpetta town (Wayanad, Kerala), United Democratic Front (UDF) members staged a demonstration and laid siege to the Wayanad Collectorate in protest against the apathy of the State and Central governments towards the farming community in the hill district.",Protests
"On January 23, tea garden workers led by the Assam Chah Mazdoor Sangha staged a demonstration in Maijan village (Dibrugarh, Assam), as part of a Betrayal Day (Protarona Divas) across the tea industry in protest against the BJP-led Central and the State government. They took out a torch rally and burnt effigies.",Protests
"On January 23, tea garden workers led by the Assam Chah Mazdoor Sangha staged a demonstration in Mukalbari Tea Estate village (Dibrugarh, Assam), as part of a Betrayal Day (Protarona Divas) across the tea industry in protest against the BJP-led Central and the State government. They took out a torch rally and burnt effigies.",Protests
"Assumed on January 23, in Kolhapur town (Kolhapur, Maha), 20 members of the youth wing of Shiv Sena rioted and vandalized the Holy Cross Convent High School because parents were asked for an additional Rs 7,000 for each student in the junior kindergarten.",Riots
"On January 23, in Kozhikode town (Kozhikode, Kerala), UDF activists assaulted three journalists while staging a demonstration against the policies of the BJP-led National Democratic Alliance government at the Centre and the LDF. Police intervened to disperse the demonstrators.",Riots
"On January 23, in Azad Maiden town (Mumbai-City, Maha), hundreds of Accredited Social Health Activist (ASHA) workers staged a protest to expose the apathetic conditions in the public health department.",Protests
"On January 23, in Thiruvananthapuram town (Thiruvananthapuram, TN), DYFI members clashed with police during a violent demonstration when they were refused permission to visit two youths who were arrested by the Medical College police for sexual harassment of a minor girl.",Riots
"On January 23, in Bukmarka village in Manpur Tehsil (Rajnandgaon, Chhattisgarh), Special Task Force (STF) and District Reserve Guard (DRG) members engaged in a gunfight with Maoist Naxals who had ambushed them with explosives. Security forces uncovered a large cache of explosives and other weapons after the gunfight. There were no injuries or fatalities reported.",Other
"On January 23, CPI-Maoist cadres triggered three Improvised Explosive Device (IED) blasts and then exchanged fire with a joint team of Special Task Force (STF), District Reserve Guard (DRG) and District Force, in the forest between Sudiyal and Bukhmarka villages, under Mohla area (Rajnandgaon, Chhattisgarh). There were no reports of injuries.",Other
"Assumed on January 23, in Thottappally town in Ambalapuzha tehsil (Alappuzha, Kerala), Congress workers staged a protest against commercial dredging in the area.",Protests
"On January 23, a clash between RSS and Muslims took place at a high school ground in Ward-12 in Kendrapara city (Kendrapara, Odisha), during a cultural event on the occasion of the birth anniversary of Netaji Subhas Chandra Bose. A few persons sustained injuries during the clash. Police personnel were deployed to control the situation.",Riots
"On January 23, people took part in a protest organized by the students' organization Mizo Zirlai Pawl in Lawngtlai city (Lawngtlai, Mizoram), against the Citizenship Amendment Bill, 2016.",Protests
"On January 23, people took part in a protest organized by the students' organization Mizo Zirlai Pawl in Saiha city (Saiha, Mizoram), against the Citizenship Amendment Bill, 2016.",Protests
"On January 23, people took part in a protest organized by the students' organization Mizo Zirlai Pawl in Serchhip city (Serchhip, Mizoram), against the Citizenship Amendment Bill, 2016.",Protests
"Property destruction: On January 23, suspected Naga militants destroyed labour camps, tools and materials meant for the construction of an Assam Police outpost in Lirmen area (Mokokchung, Nagaland).",Other
"On January 23, thousands of people took part in a protest organized by the students' organization Mizo Zirlai Pawl in Aizawl city (Aizawl, Mizoram), against the Citizenship Amendment Bill, 2016. The protesters burnt the effigies of the Prime Minister Narendra and of the Union Home Minister.",Protests
"On January 23, people took part in several protests organized by the students' organization Mizo Zirlai Pawl in different parts of Mizoram state, against the Citizenship Amendment Bill, 2016.",Protests
"On January 23, hundreds of villagers stormed inside a police station in Begunia city (Khordha, Odisha)and vandalized it, demanding arrest of a BJD MLA who had threatened a former sarpanch (local leader). They also attacked the policemen on duty. Locals blocked traffic Khurda-Bolangir NH-57 in teh city, and the police was deployed to the spot.",Riots
"On January 23, tea garden workers led by the Assam Chah Mazdoor Sangha staged a demonstration and burnt effigies on NH 37 in Chabua area (Dibrugarh, Assam), as part of a Betrayal Day (Protarona Divas) across the tea industry in protest against the BJP-led Central and the State government.",Protests
"On January 23, people took part in a protest organized by the students' organization Mizo Zirlai Pawl in Champhai city (Champhai, Mizoram), against the Citizenship Amendment Bill, 2016.",Protests
"On January 23, local women sat in front of the District Commissioner's office in Churachandpur city (Churachandpur, Manipur), in support of a bandh called by the Young Paite Association demanding that the government book all those involved in a plot to murder its general secretary in 2018.",Protests
"On January 23, members of the All Dibrugarh Muslim Samaj staged a sit-in demonstration at Idgah maidan in Dibrugarh city (Dibrugarh, Assam), in protest against the Citizenship Amendment Bill, 2016. Activists of 70 organisations led by the Krishak Mukti Sangram Samiti (KMSS) also took out a torch rally in the city.",Protests
"On January 23, tea garden workers led by the Assam Chah Mazdoor Sangha staged several demonstrations in Dibrugarh state (Assam), as part of a Betrayal Day (Protarona Divas) across the tea industry in protest against the BJP-led Central and the State government.",Protests
"On January 23, members of the Sikkim Progressive Youth Forum started an indefinite dharna in Gangtok city (West Sikkim, Sikkim), to protest against the state government's attitude regarding the lack of proper medical facilities at the Gyalshing District Hospital.",Protests
"On January 23, as many as 70 organisations including Krishak Mukti Sangram Samiti (KMSS), All Assam Students' Union (AASU) and All Bodo Students' Union (ABSU) staged a protest at Latasil playground in Guwahati city (Kamrup Metropolitan, Assam), against the Citizenship Amendment Bill, 2016.",Protests
"On January 23, All Assam Students' Union (AASU) and locals staged a protest rally in Jorabat city (Kamrup Metropolitan, Assam), against the government's decision to set up a camp of the Assam Rifles on agricultural land at Domorapathar village in Sonapur area.",Protests
"On January 23, people took part in a protest organized by the students' organization Mizo Zirlai Pawl in Kolasib city (Kolasib, Mizoram), against the Citizenship Amendment Bill, 2016.",Protests
"On January 23, students from Presidency University started a sit-in dharna in front of VC office at the campus in Kolkata city (Kolkata, West Bengal), demanding withdrawal of suspension on three students. They were suspended for six months after they were found guilty of locking the main gate of the institution few moths ago.",Protests
"On January 23, members of the student organization Tai Ahom Yuba Parishad hanged the effigies of the Prime Minister, the BJP president and the Assam Chief Minister on NH 37 near Lahoal city (Dibrugarh, Assam), in protest against the Citizenship Amendment Bill, 2016.",Protests
"On January 23, people took part in a protest organized by the students' organization Mizo Zirlai Pawl in Lunglei city (Lunglei, Mizoram), against the Citizenship Amendment Bill, 2016.",Protests
"On January 23, in Masinaickenpatti village in Salem tehsil (Salem, TN), farmers staged a demonstration focused on land acquisition and police intervened to remove them, leading to a scuffle and five farmers were injured.",Riots
"On January 23, people took part in a protest organized by the students' organization Mizo Zirlai Pawl in Mamit city (Mamit, Mizoram), against the Citizenship Amendment Bill, 2016.",Protests
"On January 23, around 200 members of tribal group Kendriya Sarna Samiti staged a sit-in-protest at Birsa Chowk in Ranchi city (Ranchi, Jharkhand), against the government initiative on the construction of tribal heroes and freedom fighters statues on the old campus of Birsa Munda Central .",Protests
"As reported on January 23, cooks under the mid-day meal scheme (MDM) staged a protest with bread in their hands in Sitamarhi area (Sitamarhi, Bihar), in support of their demands for higher wages. The protest was staged during a function attended by the Chief Minister.",Protests
"On January 23, members of the Kiyam Siphai Khong Ahanbi Nupi Marup in collaboration with JCILPS staged a demonstration in Kiyam Siphai Khong Ahanbi in Thoubal city (Thoubal, Manipur), against the Citizenship Amendment Bill, 2016.",Protests
"On January 23, residents torched four shops in Tapsikhata village (Alipurduar, West Bengal), after a TMC worker was shot dead by a section of party workers for protesting the sale of illicit liquor and extortion, on January 23. The shops, where illicit liquor was sold, belonged to associates of the attacker.",Riots
"On January 23, midday meal cooks started a two-day protest in front of the Chief Minister's official residence in Patna city (Patna, Bihar), demanding minimum wage and other benefits like social security and labour laws.",Protests
"As reported on January 23, cooks under the mid-day meal scheme (MDM) staged protests with bread in their hands in Munger district (Bihar), in support of their demands for higher wages.",Protests
"As reported on January 23, cooks under the mid-day meal scheme (MDM) staged protests with bread in their hands in Saharsa district (Bihar), in support of their demands for higher wages.",Protests
"On January 23, members of the IPFT staged a sit-in demonstration in Santirbazar city (South Tripura, Tripura), to demand a separate state, Tipraland. They also protested against the Citizenship Amendment Bill 2016.",Protests
"On January 23, members of the Khasi Students' Union (KSU) marched to the Deputy Commissioner's office in Laitlawsang area in Mawkyrwat city (South West Khasi Hills, Meghalaya), and held a sit-in demonstration opposing the proposed public hearing for the two-laning of the Nongstoin-Wahkaji-Ranikor road. They claimed the government objective is to facilitate uranium mining. They were stopped by the police.",Protests
"On January 23, locals and police personnel held a protest rally under the United Achik Youth Federation in Ranikor village (Meghalaya), to condemn a minor's kidnapping by a suspected Bangladeshi gang, and demand his release. He was released by the kidnappers in the Indo-Bangla border on January 24.",Protests
"Between 11 Jan to 2 Feb, in Hampi village (Bellari, Karnataka), three rioters damaged the pillars Vishnu Temple of Hampi UNESCO World Heritage Site which was captured on social media.",Riots
"On 23 Jan, near Chitradurga city (Chitradurga, Karnataka), the Grameena Kooli Karmikara Sanghatane rural labourers' organization, including about 3,000 women, staged a padayatra (march) from Karnataka to Bengaluru to demand complete prohibition of alcohol. Day 4",Protests
"On 22 Jan, National Health Mission workers staged a protest at the Press Enclave in Srinagar city (J&K) as part of ongoing agitation calling for regularisation of employment and pay increases.",Protests
"On 22 Jan, a teenage boy was hospitalised with a head injury after a member of the CRPF allegedly pelted him with a stone as he walked to the market in Habba Kadal area of Srinagar city (J&K). The CRPF allege that there was rioting at the time of the incident, but this is denied by local residents.",Violence against civilians
"On 22 Jan, supporters of the independent Srinagar Deputy Mayor Sheikh Imran staged a protest at the Press Enclave in Srinagar city (J&K) following an assault on the politician on the previous day.",Protests
"On 22 Jan, local residents staged a protest in the Habba Kadal area of Srinagar city (J&K) in response to the alleged assault of a teenager by a CRPF troop in the area.",Protests
"On 22 Jan, no injuries were reported when suspected militants fired on a security force party (assumed police) at Pahu village (Pulwama, J&K). Forces returned fire.",Other
"On 22 Jan, National Health Mission workers staged a protest at the Press Club in Jammu city (J&K) as part of ongoing agitation calling for regularisation of employment and pay increases.",Protests
"On 22 January, family of a man who was killed in a road accident staged a protest at Husnar chowk in Husnar village (Muktsar, Punjab), demanding the arrest of the driver. They protested against the police and district administration, and blocked the Malout-Bathinda highway.",Protests
"On 22 January, the All India Bawaria Samaj Sangathan group staged a protest at the DAC in Fazilka town (Fazilka, Punjab) demanding that police arrest the accused in a recent case where a Bawari shepherd was murdered in Chahlanwali village in November, and claim it was perpetrated by an Akali supporter. They said the 14 year old was tortured and the accused should be charged under the SC/ST act.",Protests
"On 22 January, teachers staged a protest in Barnala town (Punjab) against the state government for failing to uphold its campaign promises.",Protests
"On 22 January, the Paramedical Health Employees Association staged a protest in Bathinda city (Bathinda, Punjab) against the government for plans to privatize health facilities including dispensaries and rural/community health centres. They burnt an effigy of the government at the Civil Hospital and blocked traffic on the Bathinda-Mansa highway.",Protests
"On 22 January, teachers associated with Sanjha Adhyapak Morcha staged a protest in Bathinda city (Bathinda, Punjab) and burnt an effigy of the state education minister, over the recent firing of 5 union leaders for their role in the November teachers' strikes. They also blocked the Bathinda-Mansa highway for a short time.",Protests
"On 22 January, SSA and RMSA teachers staged a protest march from Nehru park to the home of Lal Singh in Patiala city (Patiala, Punjab). They burnt an effigy of the education minister, as well as breaking into Singh's home. The protest is over the government's failure to follow through on its promises to teachers which ended the November protest over regularisation at full pay.",Protests
"On 22 January, the Punjabi Ekta Party staged a protest against the naib tehsildar at the office in Majri (Sahibzada Ajit Singh Nagar, Punjab) after he apparently attempting to extort a bribe for performing his administrative tasks such as marriage certifications etc.",Protests
"On 22 January, people protested under the banner of Kshatriya Mahasabha in Kullu town (Kullu, Himachal Pradesh) against the misuse of the SC/ST Prevention of Atrocities Act, after false allegations were made by an individual in Thatibeed (Banjar subdivision), saying a mob had made casteist remarks and thrashed him. (Coded separately)",Protests
"On 22 January, villagers locked up stray cattle in an ayurvedic health centre in the Tilhar tehsil area (Shahjahanpur, Uttar Pradesh), after the animals destroyed crops and harmed people. It is a recurring form of protest in UP to lock stray cattle in public buildings to protest against government treatment of the issue.",Protests
"On January 22, across Andhra Pradesh, union leaders of 104 services staged a protest and indefinite strike, demanding an increase in salaries.",Protests
"On January 22, in Ambasamudram town (Tirunelveli, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested hundreds of the activists.",Protests
"On January 22, in Ambur tehsil (Vellore, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Arakkonam tehsil (Vellore, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, across Ariyalur district (TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested many of the activists.",Protests
"On January 22, in Bengaluru town (Bengaluru, Karnataka), Kannada and BJP activists staged a protest at the Conversation of the Constitution venue, demanding that the seminar be called off because the State was observing three days of mourning as a mark of respect to Dr. Shivakumara Swami who died on January 21.",Protests
"On January 22, in Chennai town (Chennai, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Coimbatore town (Coimbatore, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. The police detained 2,500 activists.",Protests
"On January 22, across Dindigul district (TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, villagers took out a protest rally with their electricity bills and electricity measuring devices in Kaithpara village (Kamrup, Assam), against the Assam Power Distribution Corporation Limited (APDCL). They claimed villagers had received electricity bills even when they had no electricity connection, only the device which had not been installed.",Protests
"On January 22, in Hyderabad town (Hyderabad, Telangana), BJP activists staged a protest condemning allegations made by the Congress senior leader Kapil Sibal.",Protests
"On January 22, in Katpadi tehsil (Vellore, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Kolhapur town (Kolhapur, Maha), 1,700 members of the Shivaji University Teachers' Association (SUTA) staged a protest against a vice-chancellor's irregularities.",Protests
"On January 22, members of the Joutha Sangrami Mancha staged a protest and blocked the NH-37 near the Dorika Bridge in Kath Para village (Sivasagar, Assam), against the Citizenship (Amendment) Bill 2016.",Protests
"On January 22, in Kolhapur town (Kolhapur, Maha), BJP workers staged a demonstration demanding that the pothole-riddled stretch be immediately repaired.",Protests
"On January 22, in Kovilpatti town (Thoothukudi, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Kumbakonam town (Kumbakonam, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested thousands of activists.",Protests
"On January 22, in Madurai town (Madurai, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Melur town (Madurai, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Azad Maiden town (Mumbai-City, Maha), Brahmin caste group members staged a protest demanding an exclusive 4% reservation for Brahmins in the state instead of including them in the 10% quota for economically weaker among forward castes.",Protests
